SchoolYear,SchoolID,SchoolName,ActiveEnrollment,ChronicallyAbsentCount,ChronicallyAbsentPercent
2019-2020,,*DISTRICT,85631,14350,17%
2019-2020,496,A. Z. Kelley Elementary,852,80,9%
2019-2020,375,Alex Green Elementary,234,52,22%
2019-2020,105,Amqui Elementary,458,93,20%
2019-2020,460,Andrew Jackson Elementary,496,64,13%
2019-2020,110,Antioch High School,1914,604,32%
2019-2020,111,Antioch Middle,820,68,8%
2019-2020,577,Apollo Middle,835,138,17%
2019-2020,130,Bellevue Middle,631,88,14%
2019-2020,135,Bellshire Elementary,342,75,22%
2019-2020,118,Brick Church College Prep,339,77,23%
2019-2020,165,Buena Vista Elementary,199,66,33%
2019-2020,419,Cambridge Early Learning Center,135,24,18%
2019-2020,184,Cane Ridge Elementary,609,78,13%
2019-2020,182,Cane Ridge High School,1858,392,21%
2019-2020,185,Carter-Lawrence Elementary,263,35,13%
2019-2020,186,Casa Azafran Early Learning Center,91,25,27%
2019-2020,200,Chadwell Elementary,323,69,21%
2019-2020,205,Charlotte Park Elementary,513,64,12%
2019-2020,215,Cockrill Elementary,319,68,21%
2019-2020,225,Cole Elementary,761,62,8%
2019-2020,448,Cora Howe School,91,31,34%
2019-2020,783,Creswell Middle School of the Arts,362,44,12%
2019-2020,235,Crieve Hall Elementary,465,56,12%
2019-2020,238,Croft Middle,750,108,14%
2019-2020,240,Cumberland Elementary,278,72,26%
2019-2020,560,Dan Mills Elementary,566,50,9%
2019-2020,252,Dodson Elementary,393,72,18%
2019-2020,260,Donelson Middle,774,99,13%
2019-2020,265,Dupont Elementary,355,51,14%
2019-2020,270,Dupont-Hadley Middle,611,105,17%
2019-2020,275,Dupont-Tyler Middle,581,99,17%
2019-2020,278,Eagle View Elementary,662,97,15%
2019-2020,280,Eakin Elementary,543,62,11%
2019-2020,286,East End Preparatory School,899,153,17%
2019-2020,296,East Nashville Middle,316,24,8%
2019-2020,290,East Nashville School,659,90,14%
2019-2020,305,Explore Community School,430,191,44%
2019-2020,308,Fall-Hamilton Elementary,312,47,15%
