School Year,School Level,School ID,School Name,State School ID,Zip Code,Total Enrollment,Grade PreK 3yrs,Grade PreK 4yrs,Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,American Indian or Alaska Native,Asian,Black or African American,Hispanic/Latino,Native Hawaiian or Other Pacific Islander,White,Male,Female,Economically Disadvantaged,Students with Disabilities,Limited English Proficiency,DataAsOf
19-20,Elementary School,496,A. Z. Kelley Elementary,0001,37013,849,,< 5%,18%,17%,18%,21%,22%,,,,,,,,,< 10,13%,38%,23%,< 10,25%,50%,50%,32%,12%,36%,04/27/2020
19-20,Elementary School,375,Alex Green Elementary,0005,37189,241,< 10,15%,18%,21%,20%,16%,10%,,,,,,,,,< 10,< 10,79%,12%,< 10,9%,51%,49%,67%,12%,11%,04/27/2020
19-20,Elementary School,105,Amqui Elementary,0010,37115,451,< 10,7%,18%,20%,17%,20%,18%,,,,,,,,,< 10,< 10,40%,48%,< 10,12%,48%,52%,54%,13%,32%,04/27/2020
19-20,Elementary School,460,Andrew Jackson Elementary,0015,37138,495,< 10,5%,19%,19%,17%,18%,21%,,,,,,,,,< 10,< 5%,30%,13%,< 10,52%,53%,47%,26%,18%,6%,04/27/2020
19-20,High School,110,Antioch High School,0020,37013,1889,,,,,,,,,,,,27%,25%,24%,24%,< 10,< 5%,34%,42%,< 10,20%,53%,47%,35%,14%,33%,04/27/2020
19-20,Middle School,111,Antioch Middle,0023,37013,822,,,,,,,,12%,31%,31%,26%,,,,,< 10,8%,29%,50%,< 10,13%,50%,50%,50%,16%,51%,04/27/2020
19-20,Middle School,577,Apollo Middle,0025,37013,837,,,,,,,,22%,25%,28%,25%,,,,,< 10,< 5%,27%,52%,< 10,16%,50%,50%,42%,16%,51%,04/27/2020
19-20,Middle School,130,Bellevue Middle,0040,37221,622,,,,,,,,23%,27%,24%,25%,,,,,< 10,< 5%,34%,13%,< 10,49%,52%,48%,34%,20%,11%,04/27/2020
19-20,Elementary School,135,Bellshire Elementary,0045,37207,335,< 5%,13%,18%,19%,15%,13%,19%,,,,,,,,,< 10,< 10,77%,12%,< 10,10%,49%,51%,71%,17%,12%,04/27/2020
19-20,Charter,118,Brick Church College Prep,0118,37207,344,,,,,,,,25%,23%,27%,25%,,,,,< 10,< 10,83%,12%,< 10,< 5%,53%,47%,75%,22%,18%,04/27/2020
19-20,Elementary School,165,Buena Vista Elementary,0070,37208,206,,14%,15%,14%,18%,19%,20%,,,,,,,,,< 10,< 10,92%,< 10,< 10,< 10,51%,49%,90%,16%,< 10,04/27/2020
19-20,Elementary School,419,Cambridge Early Learning Center,7005,37013,137,,> 95%,,,,,,,,,,,,,,< 10,< 10,53%,15%,< 10,28%,55%,45%,42%,9%,39%,04/27/2020
