Fund,Fund Description,Department,Department Description,Business Unit,Business Unit Description,Object Account,Object Account Description,FY14 Budgeted Expenses,FY14 Actual Expenses,FY15 Budgeted Expenses,FY15 Actual Expenses,FY16 Budgeted Expenses,FY16 Actual Expenses,FY17 Budgeted Expenses,FY17 Actual Expenses,FY18 Budgeted Expenses,FY18 Actual Expenses,FY19 Budgeted Expenses,FY19 Actual Expenses
10101,GSD General,1,Administrative,01101104,ADM County Retire Match,531702,Transfer Guaranteed Pension,3501900.00,3501900.00,3501900.00,3501900.00,3501900.00,5157945.89,3501900.00,3501900.00,3501900.00,3501900.00,3501900.00,3501900.00
10101,GSD General,1,Administrative,01101107,ADM Cnty Teach Retire Match,531702,Transfer Guaranteed Pension,6900400.00,6900400.00,6900400.00,6900400.00,6900400.00,5244354.11,6900400.00,6900400.00,6900400.00,6900400.00,6900400.00,6900400.00
10101,GSD General,1,Administrative,01101109,ADM Health Insurance Match,501174,Employer Group Health,42099600.00,43596876.18,45903200.00,43744375.45,45903200.00,45230130.88,49341100.00,48160249.84,49341100.00,50951314.92,51244600.00,51147253.42
10101,GSD General,1,Administrative,01101109,ADM Health Insurance Match,501175,Employer Dental Group,2517400.00,2509812.10,2611000.00,2547802.73,2611000.00,2610951.07,2741700.00,2660358.00,2741700.00,2871873.89,2986400.00,3045002.14
10101,GSD General,1,Administrative,01101110,ADM Death Benefit Payments,531001,Transfer Operational,200000.00,200000.00,200000.00,200000.00,200000.00,200000.00,200000.00,200000.00,200000.00,200000.00,200000.00,200000.00
10101,GSD General,1,Administrative,01101113,ADM Pens IOD Medical Expense,531010,Transfer IOD Pensioner,8962000.00,8962000.00,11180900.00,11180900.00,10165400.00,10165400.00,10087400.00,10087400.00,7861400.00,1965350.00,5435400.00,5435400.00
10101,GSD General,1,Administrative,01101114,ADM Unemployment Compensation,505207,Insurance-Unemployment Comp,561200.00,152267.65,561200.00,141046.58,561200.00,105199.66,200000.00,103841.22,200000.00,69553.93,100000.00,93813.35
10101,GSD General,1,Administrative,01101115,ADM Life Insurance Match,501176,Employer Group Life,1936500.00,1795120.41,2865300.00,2865293.09,2922900.00,2922832.57,2914600.00,2990432.82,2914600.00,3084035.61,3594800.00,3145606.98
10101,GSD General,1,Administrative,01101117,ADM Regional Transit Authority,505320,Contribute/Grant Agency,155700.00,155700.00,155700.00,155700.00,320200.00,320200.00,320200.00,320200.00,320200.00,320200.00,320200.00,320200.00
10101,GSD General,1,Administrative,01101118,ADM Econ/Job Incentive Dell,502619,IDB-Industrial Development Bd,0.00,0.00,0.00,0.00,0.00,-151000.00,0.00,0.00,0.00,0.00,0.00,0.00
10101,GSD General,1,Administrative,01101118,ADM Econ/Job Incentive Dell,505320,Contribute/Grant Agency,900000.00,900000.00,900000.00,732000.00,562500.00,562500.00,562500.00,562500.00,562500.00,346000.00,500000.00,500000.00
10101,GSD General,1,Administrative,01101120,ADM Employee IOD Med Expense,531011,Transfer IOD Employee,11980200.00,11980200.00,9094500.00,9094500.00,8198200.00,8198200.00,6643200.00,6643200.00,5827200.00,1456800.00,3664000.00,3664000.00
10101,GSD General,1,Administrative,01101127,ADM Contingency FacilityRental,502339,Recording,0.00,2249.11,0.00,573.38,0.00,872.34,0.00,56.00,0.00,240.00,0.00,379.86
10101,GSD General,1,Administrative,01101127,ADM Contingency FacilityRental,505231,Rent Building & Land,491400.00,426437.35,335000.00,328304.64,340000.00,355663.37,657000.00,656609.40,1256700.00,1225944.88,987200.00,973811.60
10101,GSD General,1,Administrative,01101131,ADM Study Formulating Comm,502229,Management Consultant,100000.00,69098.90,80000.00,57889.00,22100.00,167.00,0.00,0.00,0.00,0.00,0.00,0.00
10101,GSD General,1,Administrative,01101132,ADM Econ/Job Incentive Asurion,502619,IDB-Industrial Development Bd,0.00,600000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10101,GSD General,1,Administrative,01101132,ADM Econ/Job Incentive Asurion,505320,Contribute/Grant Agency,600000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10101,GSD General,1,Administrative,01101133,ADM POL Impound Appropriation,531001,Transfer Operational,2400000.00,2400000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10101,GSD General,1,Administrative,01101134,ADM OEM Appropriation,531001,Transfer Operational,1000000.00,543342.49,456000.00,0.00,228000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10101,GSD General,1,Administrative,01101135,ADM Subsidy Transp Planning,502614,MTA,0.00,0.00,528700.00,528411.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10101,GSD General,1,Administrative,01101136,ADM Econ/Job Incentive UBS,502619,IDB-Industrial Development Bd,0.00,0.00,0.00,0.00,0.00,0.00,0.00,328000.00,0.00,352000.00,0.00,360500.00
10101,GSD General,1,Administrative,01101136,ADM Econ/Job Incentive UBS,505320,Contribute/Grant Agency,0.00,0.00,0.00,0.00,0.00,0.00,328000.00,0.00,352000.00,0.00,360500.00,0.00
10101,GSD General,1,Administrative,01101137,ADM Econ/Job Incentive HCA Cap,502619,IDB-Industrial Development Bd,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,612500.00,0.00,764500.00
10101,GSD General,1,Administrative,01101137,ADM Econ/Job Incentive HCA Cap,505320,Contribute/Grant Agency,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,800000.00,0.00,764500.00,0.00
10101,GSD General,1,Administrative,01101138,ADM Empl Tuition Reimburse,502885,Employee Tuition Reimburse,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50000.00,38475.75,0.00,0.00
10101,GSD General,1,Administrative,01101139,ADM Fix It Pilot Program,502930,Automotive Repair Service,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25000.00,0.00,0.00,0.00
10101,GSD General,1,Administrative,01101140,ADM Benefit Adjustments,501170,Fringe Benefits,0.00,0.00,23300.00,0.00,-4783100.00,0.00,-2956200.00,0.00,0.00,0.00,-4431600.00,0.00
10101,GSD General,1,Administrative,01101140,ADM Benefit Adjustments,501174,Employer Group Health,0.00,0.00,4062000.00,0.00,4694400.00,0.00,6638800.00,0.00,4638800.00,0.00,7449200.00,0.00
10101,GSD General,1,Administrative,01101140,ADM Benefit Adjustments,501177,Employer Pension,0.00,0.00,1568000.00,0.00,3106000.00,0.00,3106000.00,0.00,358800.00,0.00,3464800.00,0.00
10101,GSD General,1,Administrative,01101140,ADM Benefit Adjustments,505102,Other non-operating expense,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1104550.00
10101,GSD General,1,Administrative,01101141,ADM Econ/Job Incentive Warner,502619,IDB-Industrial Development Bd,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14000.00,14000.00
