School Name,Category,Street Address,City,State,ZIP Code,Students,Grant Category,Organization Name,Activity Type,Fiscal Year,Mapped Location
Nashville Classical Charter School,MNPS,3010 Ordway Place,Nashville,TN,37206,150,Arts Access,Nashville Symphony,In-School,FY17,
Antioch High School,MNPS,1900 Hobson Pike,Antioch,TN,37013,48,Basic Operating,Nashville Opera,Out of School,FY17,"1900 Hobson Pike
Antioch, TN 37013
(36.047414, -86.60038)"
Goodlettsville Elementary School,MNPS,514 Donald Avenue,Goodlettsville,TN,37072,1,Basic Operating,W.O. Smith Music School,Out of School,FY17,
Homeschool,Home Schooled,,,TN,,60,Basic Operating,Cheekwood,In-School,FY17,"TN
(35.842998, -86.343226)"
Homeschool,Home Schooled,,,TN,,3,Basic Operating,"Actors Bridge Ensemble Theatre of Nashville, Inc.",Out of School,FY16,"TN
(35.842998, -86.343226)"
Homeschool,Home Schooled,,,TN,,29,Basic Operating,W.O. Smith Music School,Out of School,FY17,"TN
(35.842998, -86.343226)"
NIA House Montessori,Private,620 North 1st Street,Nashville,TN,37207,40,Basic Operating,Nashville Ballet,,FY16,
Susan Gray School,Private,110 Magnolia Circle,Nashville,TN,37203,24,Basic Operating,Frist Center for the Visual Arts,,FY16,
Hume-Fogg Magnet High School,MNPS,700 Broadway,Nashville,TN,37203,25,Basic Operating,Cheekwood,In-School,FY17,"700 Broadway
Nashville, TN 37203
(36.159164, -86.781476)"
Homeschool,Home Schooled,,,TN,,1340,Basic Operating,Cheekwood,In-School,FY17,"TN
(35.842998, -86.343226)"
Tusculum Elementary School,MNPS,4917 Nolensville Road,Nashville,TN,37211,10,Basic Operating,Tennessee Performing Arts Center,In-School,FY17,
Homeschool,Home Schooled,,,TN,,1,Basic Operating,Choral Arts Link,Out of School,FY17,"TN
(35.842998, -86.343226)"
Tusculum Elementary School,MNPS,4917 Nolensville Road,Nashville,TN,37211,4,Basic Operating,Global Education Center,,FY16,
Homeschool,Home Schooled,,,TN,,5,Basic Operating,Nashville Ballet,,FY16,"TN
(35.842998, -86.343226)"
KIPP Nashville College Prep,MNPS,3410 Knight Drive,Nashville,TN,37207,1,Basic Operating,"Actors Bridge Ensemble Theatre of Nashville, Inc.",Out of School,FY16,
Homeschool,Home Schooled,,,TN,,7,Basic Operating,Nashville Repertory Theatre,In-School,FY17,"TN
(35.842998, -86.343226)"
