SCHOOL_YEAR,DISTRICT_ID,DISTRICT_NAME,SCHOOL_ID,SCHOOL_NAME,GRADES_SERVED,SAFE_SCHOOL,AVERAGE_DAILY_MEMBERSHIP,TOTAL,FEMALE,FEMALE_PCT,MALE,MALE_PCT,ECONOMICALLY_DISADVANTAGED,ECONOMICALLY_DISADVANTAGED_PCT,LIMITED_ENGLISH_PROFICIENT,LIMITED_ENGLISH_PROFICIENT_PCT,STUDENTS_WITH_DISABILITIES,STUDENTS_WITH_DISABILITIES_PCT,AFRICAN_AMERICAN,AFRICAN_AMERICAN_PCT,ASIAN,ASIAN_PCT,HAWAIIAN_PACISLD,HAWAIIAN_PACISLD_PCT,HISPANIC,HISPANIC_PCT,NATIVE_AMERICAN,NATIVE_AMERICAN_PCT,WHITE,WHITE_PCT,AFRICAN_AMERICAN_FEMALE,AFRICAN_AMERICAN_MALE,ASIAN_FEMALE,ASIAN_MALE,HAWAIIAN_PACISLD_FEMALE,HAWAIIAN_PACISLD_MALE,HISPANIC_FEMALE,HISPANIC_MALE,NATIVE_AMERICAN_FEMALE,NATIVE_AMERICAN_MALE,WHITE_FEMALE,WHITE_MALE
2018-19,985,Achievement School District,8050,Aspire Coleman,Grades PK-7,SAFE SCHOOL,607,612,315,51.5,297,48.5,436,71.2,17,2.8,74,12.1,575,94,5,0.8,0,0,24,3.9,0,0,8,1.3,296,279,3,2,0,0,14,10,0,0,2,6
2018-19,985,Achievement School District,8025,Aspire Hanley Elementary,Grades PK-5,SAFE SCHOOL,530,544,281,51.7,263,48.3,429,78.9,5,0.9,59,10.8,535,98.3,0,0,1,0.2,8,1.5,0,0,0,0,278,257,0,0,0,1,3,5,0,0,0,0
2018-19,985,Achievement School District,8024,Aspire Hanley Middle School,Grades 6-8,SAFE SCHOOL,238,239,112,46.9,127,53.1,184,77,1,0.4,36,15.1,234,97.9,0,0,0,0,3,1.3,0,0,2,0.8,110,124,0,0,0,0,2,1,0,0,0,2
2018-19,985,Achievement School District,8005,Brick Church: A LEAD Public School,Grades 5-8,SAFE SCHOOL,310,305,137,44.9,168,55.1,228,74.8,25,8.2,58,19,246,80.7,2,0.7,0,0,35,11.5,3,1,19,6.2,111,135,1,1,0,0,14,21,3,0,8,11
2018-19,985,Achievement School District,8010,Cornerstone Prep - Lester Campus,Grades PK-5,SAFE SCHOOL,380,375,189,50.4,186,49.6,299,79.7,34,9.1,68,18.1,356,94.9,1,0.3,0,0,16,4.3,0,0,2,0.5,178,178,1,0,0,0,10,6,0,0,0,2
2018-19,985,Achievement School District,8115,Cornerstone Prep Denver Campus,Grades PK-5,SAFE SCHOOL,593,590,276,46.8,314,53.2,473,80.2,5,0.8,81,13.7,573,97.1,0,0,1,0.2,8,1.4,0,0,8,1.4,268,305,0,0,0,1,5,3,0,0,3,5
2018-19,985,Achievement School District,5,Corning Achievement Elementary,Grades PK-5,SAFE SCHOOL,129,124,64,51.6,60,48.4,105,84.7,0,0,6,4.8,120,96.8,0,0,0,0,4,3.2,0,0,0,0,60,60,0,0,0,0,4,0,0,0,0,0
2018-19,985,Achievement School District,8055,Fairley High School,Grades 9-12,SAFE SCHOOL,511,520,257,49.4,263,50.6,355,68.3,5,1,74,14.2,507,97.5,4,0.8,0,0,6,1.2,0,0,3,0.6,251,256,3,1,0,0,3,3,0,0,0,3
2018-19,985,Achievement School District,15,Frayser Achievement Elementary,Grades PK-5,SAFE SCHOOL,245,246,137,55.7,109,44.3,208,84.6,1,0.4,19,7.7,234,95.1,0,0,1,0.4,9,3.7,0,0,2,0.8,130,104,0,0,1,0,5,4,0,0,1,1
2018-19,985,Achievement School District,8075,Freedom Preparatory Academy Charter Elementary School,Grades PK-5,SAFE SCHOOL,548,538,261,48.5,276,51.3,396,73.6,23,4.3,45,8.4,512,95.2,0,0,0,0,17,3.2,0,0,9,1.7,249,262,0,0,0,0,6,11,0,0,6,3
2018-19,985,Achievement School District,25,Georgian Hills Achievement Elementary School,Grades PK-5,SAFE SCHOOL,271,282,139,49.3,143,50.7,234,83,1,0.4,49,17.4,271,96.1,0,0,0,0,6,2.1,0,0,5,1.8,131,140,0,0,0,0,5,1,0,0,3,2
2018-19,985,Achievement School District,8140,Hillcrest High School,Grades 9-12,SAFE SCHOOL,435,461,230,49.9,231,50.1,327,70.9,16,3.5,73,15.8,446,96.7,3,0.7,0,0,11,2.4,0,0,1,0.2,223,223,3,0,0,0,4,7,0,0,0,1
2018-19,985,Achievement School District,8015,Humes Preparatory Academy Middle  School,Grades 6-8,SAFE SCHOOL,233,236,104,44.1,132,55.9,172,72.9,0,0,39,16.5,233,98.7,0,0,0,0,1,0.4,0,0,2,0.8,104,129,0,0,0,0,0,1,0,0,0,2
2018-19,985,Achievement School District,8040,KIPP Memphis Academy Elementary,Grades K-4,SAFE SCHOOL,314,339,165,48.7,174,51.3,291,85.8,0,0,36,10.6,331,97.6,0,0,0,0,2,0.6,1,0.3,5,1.5,162,169,0,0,0,0,1,1,1,0,1,4
2018-19,985,Achievement School District,8110,KIPP Memphis Preparatory Elementary,Grades K-4,SAFE SCHOOL,398,412,210,51,202,49,368,89.3,19,4.6,19,4.6,391,94.9,0,0,0,0,7,1.7,0,0,14,3.4,199,192,0,0,0,0,6,1,0,0,5,9
2018-19,985,Achievement School District,8020,KIPP Memphis Preparatory Middle,Grades 5-8,SAFE SCHOOL,282,296,147,49.7,149,50.3,233,78.7,6,2,23,7.8,286,96.6,0,0,0,0,6,2,0,0,4,1.4,141,145,0,0,0,0,3,3,0,0,3,1
2018-19,985,Achievement School District,8135,Kirby Middle School,Grades 6-8,SAFE SCHOOL,388,384,180,46.9,204,53.1,254,66.1,26,6.8,45,11.7,328,85.4,0,0,0,0,55,14.3,0,0,1,0.3,154,174,0,0,0,0,25,30,0,0,1,0
2018-19,985,Achievement School District,8070,Lester Prep,Grades 6-8,SAFE SCHOOL,248,246,104,42.3,142,57.7,198,80.5,22,8.9,38,15.4,232,94.3,1,0.4,0,0,12,4.9,0,0,1,0.4,100,132,0,1,0,0,4,8,0,0,0,1
2018-19,985,Achievement School District,8095,Libertas School,Grades PK-6,SAFE SCHOOL,276,286,116,40.6,170,59.4,152,53.1,0,0,62,21.7,234,81.8,3,1,2,0.7,4,1.4,1,0.3,42,14.7,94,140,2,1,1,1,1,3,1,0,17,25
2018-19,985,Achievement School District,8065,Martin Luther King Preparatory High School,Grades 9-12,SAFE SCHOOL,490,513,245,47.8,268,52.2,332,64.7,4,0.8,91,17.7,498,97.1,0,0,0,0,8,1.6,0,0,7,1.4,242,256,0,0,0,0,3,5,0,0,0,7
2018-19,985,Achievement School District,8125,Memphis Scholars Caldwell-Guthrie,Grades PK-5,SAFE SCHOOL,462,460,205,44.6,255,55.4,388,84.3,0,0,39,8.5,458,99.6,0,0,0,0,0,0,0,0,2,0.4,204,254,0,0,0,0,0,0,0,0,1,1
2018-19,985,Achievement School District,8120,Memphis Scholars Florida Kansas,Grades PK-5,SAFE SCHOOL,240,244,112,45.9,132,54.1,206,84.4,1,0.4,29,11.9,240,98.4,0,0,0,0,4,1.6,0,0,0,0,110,130,0,0,0,0,2,2,0,0,0,0
2018-19,985,Achievement School District,8130,Memphis Scholars Raleigh-Egypt,Grades 6-8,SAFE SCHOOL,105,103,47,45.6,56,54.4,86,83.5,3,2.9,24,23.3,100,97.1,0,0,0,0,3,2.9,0,0,0,0,46,54,0,0,0,0,1,2,0,0,0,0
2018-19,985,Achievement School District,8090,Neely's Bend: A LEAD Public School,Grades 5-8,SAFE SCHOOL,502,499,217,43.5,282,56.5,270,54.1,100,20,68,13.6,202,40.5,3,0.6,0,0,210,42.1,0,0,84,16.8,84,118,1,2,0,0,97,113,0,0,35,49
2018-19,985,Achievement School District,45,Pathways in Education - TN,Grades 9-12,SAFE SCHOOL,153,174,102,58.6,72,41.4,86,49.4,8,4.6,15,8.6,150,86.2,2,1.1,0,0,13,7.5,1,0.6,8,4.6,91,59,2,0,0,0,5,8,0,1,4,4
